season,team,teams,games,wins,draws,losses,wins_ratio,points_for,points_against,points_ratio,goals_for,behinds_for,accuracy_for,goals_against,behinds_against,accuracy_against,goals_ratio,behinds_ratio,rank,rank_score,coarse_rank,wins_prestige,adj_wins_prestige,points_prestige,adj_points_prestige
2011,Essendon,17,23,11,1,11,0.5,2304,2366,0.49336188436830836,340,264,0.5629139072847682,347,284,0.5499207606973059,0.4949053857350801,0.48175182481751827,8,0.5625,2,0.055095902183598326,0.48265212276723124,0.05864352050162033,0.4991859795968159
2011,Fremantle,17,22,9,0,13,0.4090909090909091,1791,2155,0.4538773441459706,254,267,0.4875239923224568,314,271,0.5367521367521367,0.4471830985915493,0.4962825278810409,11,0.375,3,0.013665198512542007,0.18144993539231374,0.048698450168735155,0.45026620644289295
2011,Geelong,17,25,22,0,3,0.88,2882,1836,0.6108520559559135,426,326,0.5664893617021277,266,240,0.525691699604743,0.615606936416185,0.5759717314487632,2,0.9375,1,0.2988058784964474,0.8720936076168453,0.0891748590938299,0.6103626696152166
2011,Gold Coast,17,22,3,0,19,0.13636363636363635,1534,2726,0.360093896713615,214,250,0.46120689655172414,406,290,0.5833333333333334,0.34516129032258064,0.46296296296296297,17,0.0,4,0.0007812304715348546,0.012354907096110715,0.03309773088054068,0.35387620374163203
2011,Hawthorn,17,25,19,0,6,0.76,2609,1886,0.5804226918798665,382,317,0.5464949928469242,272,254,0.5171102661596958,0.5840978593272171,0.5551663747810858,3,0.875,1,0.08461895673027604,0.5966212683373752,0.07756415000059926,0.5736297917860281
2011,Melbourne,17,22,8,1,13,0.38636363636363635,1974,2315,0.4602471438563768,286,258,0.5257352941176471,341,269,0.559016393442623,0.45614035087719296,0.48956356736242884,13,0.25,3,0.00974396091062717,0.13602241774752194,0.046469229806528296,0.43812070267230074
2011,North Melbourne,17,22,10,0,12,0.45454545454545453,2106,2082,0.502865329512894,304,282,0.5187713310580204,301,276,0.5216637781629117,0.5024793388429752,0.5053763440860215,9,0.5,2,0.011617078609514686,0.15829021047854647,0.057114498858208726,0.49217610657559663
2011,Port Adelaide,17,22,3,0,19,0.13636363636363635,1718,2663,0.3921479114357453,255,188,0.5756207674943566,390,323,0.5469845722300141,0.3953488372093023,0.3679060665362035,16,0.0625,4,0.0013982238040052039,0.021912012404028708,0.037097620473447813,0.3813527395822093
2011,Richmond,17,22,8,1,13,0.38636363636363635,2069,2396,0.4633818589025756,300,269,0.5272407732864675,347,314,0.5249621785173979,0.46367851622874806,0.4614065180102916,12,0.3125,3,0.008642535885423948,0.12241140036074245,0.04824140639401849,0.4478144901659262
2011,St Kilda,17,23,12,1,10,0.5434782608695652,1948,1759,0.5254923118424603,283,250,0.5309568480300187,250,259,0.4911591355599214,0.5309568480300187,0.4911591355599214,7,0.625,2,0.019983067318944114,0.24599350542049414,0.062296705232413506,0.5152611779302303
